BJD - 2454833, Corrected Flux
2319.155937627, 0.993033990,
2319.176369409, 0.993172254,
2319.196801291, 0.993289427,
2319.217233273, 0.992750052,
2319.237665055, 0.993203727,
2319.258096936, 0.993072407,
2319.278528917, 0.993389853,
2319.298960798, 0.993541316,
2319.319392578, 0.993424650,
2319.339824558, 0.993374342,
2319.360256438, 0.992945293,
2319.380688217, 0.992827943,
2319.401120196, 0.993339532,
2319.421552075, 0.993576732,
2319.441984053, 0.993603386,
2319.462415831, 0.993540811,
2319.482847709, 0.993201077,
2319.503279686, 0.993269538,
2319.523711464, 0.992604058,
2319.564575317, 0.993486320,
2319.585007093, 0.993343093,
2319.605438969, 0.993622241,
2319.625870944, 0.993224653,
2319.646302720, 0.993245369,
2319.666734595, 0.993736662,
2319.687166569, 0.993129106,
2319.707598444, 0.993547387,
2319.728030218, 0.993549693,
2319.748462191, 0.993483133,
2319.768894064, 0.993524743,
2319.809757810, 0.993573616,
2319.830189683, 0.994188933,
2319.850621554, 0.993485861,
2319.871053426, 0.993327615,
2319.891485198, 0.993434673,
2319.911917169, 0.993260572,
2319.932349040, 0.993240236,
2319.952780910, 0.993239397,
2319.973212780, 0.992847817,
2319.993644650, 0.992881807,
2320.014076420, 0.993334337,
2320.034508389, 0.993115677,
2320.054940258, 0.993301711,
2320.075372027, 0.993343687,
2320.095803995, 0.992935509,
2320.116235863, 0.993051390,
2320.136667731, 0.993151601,
2320.157099598, 0.993222366,
2320.177531465, 0.993393596,
2320.197963332, 0.993771849,
2320.218395198, 0.993520385,
2320.238827064, 0.993355037,
2320.259259030, 0.993362992,
2320.300122661, 0.993382311,
2320.320554626, 0.993374500,
2320.340986490, 0.993288002,
2320.361418255, 0.993490357,
2320.381850219, 0.993510729,
2320.402282082, 0.993033266,
2320.422713846, 0.993102169,
2320.443145809, 0.993353119,
2320.463577671, 0.994542150,
2320.484009434, 0.993402724,
2320.504441396, 0.993756732,
2320.524873258, 0.993913287,
2320.545305119, 0.993497083,
2320.565736980, 0.993359282,
2320.586168841, 0.993564613,
2320.606600702, 0.993655122,
2320.627032562, 0.993440677,
2320.647464422, 0.993311937,
2320.667896282, 0.992981852,
2320.688328141, 0.993483711,
2320.708760000, 0.993511549,
2320.729191859, 0.993453832,
2320.749623717, 0.993611334,
2320.790487533, 0.993802796,
2320.810919291, 0.993327106,
2320.831351148, 0.993522955,
2320.851783105, 0.993347597,
2320.872214862, 0.993034296,
2320.892646718, 0.993796280,
2320.913078674, 0.993305855,
2320.933510430, 0.993530775,
2320.953942285, 0.993506562,
2320.974374240, 0.993138797,
